id;immOpt;delOpt;odds;prob;task;probability
97;20;560;9;0.1;loss;10
98;1;1.25;0.25;0.8;loss;80
99;15;16.66666667;0.111111111;0.9;loss;90
100;5;20;1;0.5;loss;50
101;5;27.5;1.5;0.4;loss;40
102;20;80;1;0.5;loss;50
103;15;150;9;0.1;loss;10
104;1;2.285714286;0.428571429;0.7;loss;70
105;15;60;1;0.5;loss;50
106;1;8;2.333333333;0.3;loss;30
107;20;40;1;0.5;loss;50
108;10;100;9;0.1;loss;10
109;10;55;1.5;0.4;loss;40
110;1;5.5;1.5;0.4;loss;40
111;20;260;4;0.2;loss;20
112;5;11.42857143;0.428571429;0.7;loss;70
113;1;2.5;1.5;0.4;loss;40
114;5;140;9;0.1;loss;10
115;5;7.142857143;0.428571429;0.7;loss;70
116;1;1.75;0.25;0.8;loss;80
117;20;26.66666667;0.111111111;0.9;loss;90
118;15;75;4;0.2;loss;20
119;15;120;2.333333333;0.3;loss;30
120;5;5.555555556;0.111111111;0.9;loss;90
121;10;33.33333333;2.333333333;0.3;loss;30
122;15;21.42857143;0.428571429;0.7;loss;70
123;1;1.333333333;0.111111111;0.9;loss;90
124;20;28.57142857;0.428571429;0.7;loss;70
125;20;45.71428571;0.428571429;0.7;loss;70
126;5;50;9;0.1;loss;10
127;5;40;2.333333333;0.3;loss;30
128;15;82.5;1.5;0.4;loss;40
129;1;28;9;0.1;loss;10
130;20;33.33333333;0.666666667;0.6;loss;60
131;20;25;0.25;0.8;loss;80
132;10;12.5;0.25;0.8;loss;80
133;20;60;0.666666667;0.6;loss;60
134;15;26.25;0.25;0.8;loss;80
135;5;15;0.666666667;0.6;loss;60
136;20;35;0.25;0.8;loss;80
137;5;16.66666667;2.333333333;0.3;loss;30
138;5;6.25;0.25;0.8;loss;80
139;15;45;0.666666667;0.6;loss;60
140;10;20;1;0.5;loss;50
141;15;30;1;0.5;loss;50
142;5;8.75;0.25;0.8;loss;80
143;15;34.28571429;0.428571429;0.7;loss;70
144;15;18.75;0.25;0.8;loss;80
145;10;40;1;0.5;loss;50
146;10;80;2.333333333;0.3;loss;30
147;20;50;1.5;0.4;loss;40
148;5;10;1;0.5;loss;50
149;20;22.22222222;0.111111111;0.9;loss;90
150;15;50;2.333333333;0.3;loss;30
151;20;160;2.333333333;0.3;loss;30
152;10;22.85714286;0.428571429;0.7;loss;70
153;1;13;4;0.2;loss;20
154;10;14.28571429;0.428571429;0.7;loss;70
155;20;200;9;0.1;loss;10
156;10;17.5;0.25;0.8;loss;80
157;10;130;4;0.2;loss;20
158;10;11.11111111;0.111111111;0.9;loss;90
159;10;50;4;0.2;loss;20
160;5;25;4;0.2;loss;20
161;5;8.333333333;0.666666667;0.6;loss;60
162;20;100;4;0.2;loss;20
163;5;12.5;1.5;0.4;loss;40
164;1;1.111111111;0.111111111;0.9;loss;90
165;20;110;1.5;0.4;loss;40
166;20;66.66666667;2.333333333;0.3;loss;30
167;1;3;0.666666667;0.6;loss;60
168;10;280;9;0.1;loss;10
169;1;10;9;0.1;loss;10
170;5;65;4;0.2;loss;20
171;1;1.428571429;0.428571429;0.7;loss;70
172;15;20;0.111111111;0.9;loss;90
173;10;30;0.666666667;0.6;loss;60
174;15;195;4;0.2;loss;20
175;1;3.333333333;2.333333333;0.3;loss;30
176;1;1.666666667;0.666666667;0.6;loss;60
177;10;25;1.5;0.4;loss;40
178;1;5;4;0.2;loss;20
179;15;420;9;0.1;loss;10
180;10;13.33333333;0.111111111;0.9;loss;90
